投票区番号,投票区,当日有権者数_男,当日有権者数_女,当日有権者数,投票者数_男,投票者数_男_期日前,投票者数_男_計,投票者数_女,投票者数_女_期日前,投票者数_女_計,投票者数_計,投票率_男,投票率_女,投票率_計
1,せきいんこども園,1226,1297,2523,434,245,679,436,286,722,1401,55.38,55.67,55.53
2,鯖江公民館,1818,1992,3810,635,319,954,644,418,1062,2016,52.48,53.31,52.91
3,本町児童センター,787,909,1696,253,182,435,243,255,498,933,55.27,54.79,55.01
4,舟津児童センター,1253,1362,2615,385,166,551,414,241,655,1206,43.97,48.09,46.12
5,新横江公民館,2069,2154,4223,652,242,894,668,296,964,1858,43.21,44.75,44.00
6,神明公民館,2767,2964,5731,909,347,1256,909,430,1339,2595,45.39,45.18,45.28
7,神明小学校体育館,1451,1495,2946,501,202,703,488,257,745,1448,48.45,49.83,49.15
8,草の実保育園,1237,1362,2599,417,142,559,429,205,634,1193,45.19,46.55,45.90
9,東工集会所,1154,1315,2469,319,178,497,320,298,618,1115,43.07,47.00,45.16
10,中河農業者トレーニングセンター,1858,1975,3833,754,277,1031,738,365,1103,2134,55.49,55.85,55.67
11,片上体育館,727,756,1483,280,104,384,248,158,406,790,52.82,53.70,53.27
12,立待公民館,2394,2489,4883,865,282,1147,894,357,1251,2398,47.91,50.26,49.11
13,吉川農村環境改善センター,2793,2930,5723,996,430,1426,988,566,1554,2980,51.06,53.04,52.07
14,豊公民館,1836,1938,3774,638,232,870,662,273,935,1805,47.39,48.25,47.83
15,北中山公民館,1077,1193,2270,508,216,724,505,273,778,1502,67.22,65.21,66.17
16,河和田コミュニティセンター,1629,1660,3289,782,191,973,760,223,983,1956,59.73,59.22,59.47
17,石田保育所,907,944,1851,369,107,476,380,147,527,1003,52.48,55.83,54.19
,計,26983,28735,55718,9697,3862,13559,9726,5048,14774,28333,50.25,51.41,50.85
